Headlines,Time,Description,cleaned_text,standardized_text,tokens
"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'"," 7:24  PM ET Mon, 13 July 2020","""This is the week when we find out if the real world is going to intrude on the stock market world,"" the ""Mad Money"" host said.",cramers earnings watch if the banks get hammered things could get ugly,cramers earnings watch if the banks get hammered things could get ugly,"['cramers', 'earnings', 'watch', 'banks', 'hammered', 'things', 'ugly']"
Stay invested in US markets for the next two years: Strategist," 1:50  AM ET Tue,  7 July 2020","Washington Crossing Advisors' Chad Morganlander says he sees earnings per share potential staying quite robust over the next 24 months, and to stay invested in high-quality sectors and growth names to avoid getting out of the market at the wrong time.",stay invested in us markets for the next two years strategist,stay invested in us markets for the next two years strategist,"['stay', 'invested', 'markets', 'years', 'strategist']"
DBS sees signs of a 'healthy' US market rally," 4:59  AM ET Mon,  6 July 2020","Hou Wey Fook of DBS Bank says the U.S. equity rally has been broad, which is a positive indicator. He also explains why the entry of retail investors is a good thing for the markets.",dbs sees signs of a healthy us market rally,dbs sees signs of a healthy us market rally,"['dbs', 'sees', 'signs', 'healthy', 'market', 'rally']"
,,,,,[]
Aggressive policy bolstering markets: Hirtle Callaghan,"10:57  PM ET Thu,  2 July 2020","Hirtle Callaghan's Jonathan Hirtle thinks this recession is one of design, and gives his range predictions for the S&P 500 and the U.S. 10-year treasury.",aggressive policy bolstering markets hirtle callaghan,aggressive policy bolstering markets hirtle callaghan,"['aggressive', 'policy', 'bolstering', 'markets', 'hirtle', 'callaghan']"
"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance"," 7:27  PM ET Thu,  2 July 2020","""The stock market is not a proxy for the economy, it's a proxy for big business,"" the ""Mad Money"" host said.",cramers week ahead big business is bouncing back and bouncing back with a vengeance,cramers week ahead big business is bouncing back and bouncing back with a vengeance,"['cramers', 'week', 'ahead', 'big', 'business', 'bouncing', 'bouncing', 'vengeance']"
Cramer's lightning round: I don't like Archer-Daniels-Midland Co," 7:37  PM ET Thu,  2 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round i dont like archerdanielsmidland co,cramers lightning round i dont like archerdanielsmidland co,"['cramers', 'lightning', 'round', 'nt', 'like', 'archerdanielsmidland', 'co']"
Sustainable produce supplier Apeel lands deal with Wakefern grocery stores," 7:00  PM ET Thu,  2 July 2020",Apeel will bring limes to Wakefern Food grocery stores in July. The deal is striving to save 1.4 million limes from going bad each year.,sustainable produce supplier apeel lands deal with wakefern grocery stores,sustainable produce supplier apeel lands deal with wakefern grocery stores,"['sustainable', 'produce', 'supplier', 'apeel', 'lands', 'deal', 'wakefern', 'grocery', 'stores']"
Jim Cramer deciphers the speculative and blue-chip stocks driving the market," 8:35  PM ET Wed,  1 July 2020","""The whole market's being upended by the pandemic and the lines they are shifting,"" the ""Mad Money"" host said.",jim cramer deciphers the speculative and bluechip stocks driving the market,jim cramer deciphers the speculative and bluechip stocks driving the market,"['jim', 'cramer', 'deciphers', 'speculative', 'bluechip', 'stocks', 'driving', 'market']"
Cramer's lightning round: BlackRock is a buy," 8:00  PM ET Wed,  1 July 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round blackrock is a buy,cramers lightning round blackrock is a buy,"['cramers', 'lightning', 'round', 'blackrock', 'buy']"
,,,,,[]
"The S&P 500 'could get ugly' in the near future, Jim Cramer warns"," 7:13  PM ET Wed,  1 July 2020","The S&P 500 could be riding into a ""make-or-break moment"" in the short term, the ""Mad Money"" host said.",the sp could get ugly in the near future jim cramer warns,the sp could get ugly in the near future jim cramer warns,"['sp', 'ugly', 'near', 'future', 'jim', 'cramer', 'warns']"
Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality'," 8:00  PM ET Tue, 30 June 2020","""Mrs. Butterworth's was really architected to resemble a loving grandmother, but we can understand how some people may view it differently, may find it offensive,"" Conagra CEO Sean Connolly said.",conagra ceo on revamping mrs butterworths brand perception is reality,conagra ceo on revamping mrs butterworths brand perception is reality,"['conagra', 'ceo', 'revamping', 'mrs', 'butterworths', 'brand', 'perception', 'reality']"
Cramer's lightning round: Nokia has 'good things coming'," 7:33  PM ET Tue, 30 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round nokia has good things coming,cramers lightning round nokia has good things coming,"['cramers', 'lightning', 'round', 'nokia', 'good', 'things', 'coming']"
Jim Cramer breaks down his favorite stocks from a record second quarter," 7:28  PM ET Tue, 30 June 2020","The best stocks of the second quarter were the ones with ""a lot of ingenuity and a lot more good luck,"" the ""Mad Money"" host said.",jim cramer breaks down his favorite stocks from a record second quarter,jim cramer breaks down his favorite stocks from a record second quarter,"['jim', 'cramer', 'breaks', 'favorite', 'stocks', 'record', 'second', 'quarter']"
Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session," 7:41  PM ET Mon, 29 June 2020","""We had a lot of encouraging signs today, but keep in mind that this market loves veering from one extreme to the other,"" Cramer said.",jim cramer we saw a lot of encouraging signs in mondays session,jim cramer we saw a lot of encouraging signs in mondays session,"['jim', 'cramer', 'saw', 'lot', 'encouraging', 'signs', 'mondays', 'session']"
Cramer's lightning round: James Taiclet will make Lockheed Martin some money," 7:14  PM ET Mon, 29 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round james taiclet will make lockheed martin some money,cramers lightning round james taiclet will make lockheed martin some money,"['cramers', 'lightning', 'round', 'james', 'taiclet', 'lockheed', 'martin', 'money']"
Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business," 7:02  PM ET Mon, 29 June 2020","Popeyes' viral chicken sandwich brought in new customers who are ""now experimenting and exploring the entire menu,"" Restaurant Brands CEO Jose Cil said.",restaurant brands ceo popeyes chicken sandwich has had an unprecedented impact on business,restaurant brands ceo popeyes chicken sandwich has had an unprecedented impact on business,"['restaurant', 'brands', 'ceo', 'popeyes', 'chicken', 'sandwich', 'unprecedented', 'impact', 'business']"
"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index"," 7:01  PM ET Mon, 29 June 2020","""When you look at the biggest winners in the index, they're overwhelmingly tech companies that help facilitate the stay-at-home economy, and a lot of these got hit today,"" the ""Mad Money"" host said.",cramer adds new stocks recommends buying laggards in his covid index,cramer adds new stocks recommends buying laggards in his covid index,"['cramer', 'adds', 'new', 'stocks', 'recommends', 'buying', 'laggards', 'covid', 'index']"
Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus," 7:36  PM ET Thu, 25 June 2020","""This is a time where every company needs to reassess its relevance to maintain its market share and innovation,"" Salesforce CEO Marc Benioff said in a ""Mad Money"" interview.",marc benioff says states are now using salesforces contact tracing technology for coronavirus,marc benioff says states are now using salesforces contact tracing technology for coronavirus,"['marc', 'benioff', 'says', 'states', 'salesforces', 'contact', 'tracing', 'technology', 'coronavirus']"
Cramer's lightning round: Stay in Yeti," 7:31  PM ET Thu, 25 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round stay in yeti,cramers lightning round stay in yeti,"['cramers', 'lightning', 'round', 'stay', 'yeti']"
"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says"," 7:02  PM ET Thu, 25 June 2020","After Texas put a pause on its reopening, ""many of today's winners were the usual suspects that benefit from the pandemic,"" the ""Mad Money"" host said.",the stayathome stocks surged as texas paused reopening jim cramer says,the stayathome stocks surged as texas paused reopening jim cramer says,"['stayathome', 'stocks', 'surged', 'texas', 'paused', 'reopening', 'jim', 'cramer', 'says']"
"The Awaken America trade has taken a turn for the worse, Jim Cramer warns"," 9:02  PM ET Wed, 24 June 2020","""I want you to raise a little cash so you can put it to work buying stocks at lower levels,"" the ""Mad Money"" host advised after a brutal sell-off on Wall Street.",the awaken america trade has taken a turn for the worse jim cramer warns,the awaken america trade has taken a turn for the worse jim cramer warns,"['awaken', 'america', 'trade', 'taken', 'turn', 'worse', 'jim', 'cramer', 'warns']"
Cramer's lightning round: Buy Ulta Beauty," 7:36  PM ET Wed, 24 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round buy ulta beauty,cramers lightning round buy ulta beauty,"['cramers', 'lightning', 'round', 'buy', 'ulta', 'beauty']"
Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states," 6:59  PM ET Wed, 24 June 2020",Rhode Island Gov. Gina Raimondo said she is considering new mitigation actions after neighboring states announced a quarantine for some inbound travelers.,rhode island governor mulls restrictions on travelers from coronavirus hotspot states,rhode island governor mulls restrictions on travelers from coronavirus hotspot states,"['rhode', 'island', 'governor', 'mulls', 'restrictions', 'travelers', 'coronavirus', 'hotspot', 'states']"
,,,,,[]
"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says","10:30  AM ET Fri, 26 June 2020","""It's definitely not best of breed, but it's not garbage either,"" the ""Mad Money"" host said.",albertsons stock is worth buying at after it ipos jim cramer says,albertsons stock is worth buying at after it ipos jim cramer says,"['albertsons', 'stock', 'worth', 'buying', 'ipos', 'jim', 'cramer', 'says']"
"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone"," 5:12  AM ET Wed, 24 June 2020","Byron Wien, vice chairman at Private Wealth Solutions Group at Blackstone, weighs in on the shape of the economic recovery.",the us recovery might not be vshaped but more like a squareroot sign blackstone,the us recovery might not be vshaped but more like a squareroot sign blackstone,"['recovery', 'vshaped', 'like', 'squareroot', 'sign', 'blackstone']"
We expect a U-shaped economic recovery: Strategist,"10:09  PM ET Tue, 23 June 2020","Erik Knutzen of Neuberger Berman says he's cautious about the trajectory of the market and economic recoveries, and explains why his base case scenario is for U.S. GDP to contract 6% this year.",we expect a ushaped economic recovery strategist,we expect a ushaped economic recovery strategist,"['expect', 'ushaped', 'economic', 'recovery', 'strategist']"
Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense'," 8:08  PM ET Tue, 23 June 2020","""If you want a short-term trade with a terrific track record, [Larry] Williams says you should buy the S&P two days before July 4,"" the ""Mad Money"" host said.",jim cramer says playing larry williams fourth of july trade makes a lot of sense,jim cramer says playing larry williams fourth of july trade makes a lot of sense,"['jim', 'cramer', 'says', 'playing', 'larry', 'williams', 'fourth', 'july', 'trade', 'makes', 'lot', 'sense']"
Cramer's lightning round: Two thumbs up for AstraZeneca," 7:13  PM ET Tue, 23 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round two thumbs up for astrazeneca,cramers lightning round two thumbs up for astrazeneca,"['cramers', 'lightning', 'round', 'thumbs', 'astrazeneca']"
Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',"10:40  PM ET Tue, 23 June 2020","""That transformation is inevitable,"" Impossible Foods founder and CEO Patrick Brown said after Starbucks launched the Impossible Breakfast Sandwich.",impossible foods ceo says the meat industry will be obsolete in years thats our mission,impossible foods ceo says the meat industry will be obsolete in years thats our mission,"['impossible', 'foods', 'ceo', 'says', 'meat', 'industry', 'obsolete', 'years', 's', 'mission']"
,,,,,[]
"Spotify's story is starting to mirror Netflix's, Jim Cramer says"," 8:29  PM ET Mon, 22 June 2020","Wall Street has finally bought into Spotify's podcasting strategy and ""what matters here is subscriber growth,"" the ""Mad Money"" host said.",spotifys story is starting to mirror netflixs jim cramer says,spotifys story is starting to mirror netflixs jim cramer says,"['spotifys', 'story', 'starting', 'mirror', 'netflixs', 'jim', 'cramer', 'says']"
"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says"," 8:24  PM ET Mon, 22 June 2020","""This was a day when both the recession stocks and the recovery stocks worked"" and ""someone, one of these two groups, has to be wrong,"" sooner or later, the ""Mad Money"" host said.",recession and recovery stocks are working but the trend is not sustainable jim cramer says,recession and recovery stocks are working but the trend is not sustainable jim cramer says,"['recession', 'recovery', 'stocks', 'working', 'trend', 'sustainable', 'jim', 'cramer', 'says']"
Barstool's Dave Portnoy says he'll focus on sports betting when sports return," 7:06  PM ET Mon, 22 June 2020","""I'm enjoying the stock stuff ... It's been fun ... but I'm a sports guy. I'm a sports better,"" Barstool Sports founder Dave Portnoy said after jumping into day trading.",barstools dave portnoy says hell focus on sports betting when sports return,barstools dave portnoy says hell focus on sports betting when sports return,"['barstools', 'dave', 'portnoy', 'says', 'hell', 'focus', 'sports', 'betting', 'sports', 'return']"
Cramer's lightning round: Caterpillar needs an acceleration of our economy," 7:02  PM ET Mon, 22 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round caterpillar needs an acceleration of our economy,cramers lightning round caterpillar needs an acceleration of our economy,"['cramers', 'lightning', 'round', 'caterpillar', 'needs', 'acceleration', 'economy']"
Nielsen CEO explains why he took on the additional role of chief diversity officer," 1:49  PM ET Sun, 21 June 2020","""I'm fortunate to have a very diverse team helping me and they encouraged me last year to take the title on,"" Nielsen CEO David Kenny said on CNBC on Friday.",nielsen ceo explains why he took on the additional role of chief diversity officer,nielsen ceo explains why he took on the additional role of chief diversity officer,"['nielsen', 'ceo', 'explains', 'took', 'additional', 'role', 'chief', 'diversity', 'officer']"
"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says"," 7:47  PM ET Thu, 18 June 2020","""If the S&P 500 really does surge to 3,400, up 9.1% from these levels, maybe take something off the table,"" the ""Mad Money"" host said.",charts suggest new highs could be on the table for the sp jim cramer says,charts suggest new highs could be on the table for the sp jim cramer says,"['charts', 'suggest', 'new', 'highs', 'table', 'sp', 'jim', 'cramer', 'says']"
Cramer's lightning round: A patient person can wait for GE to payoff," 7:24  PM ET Thu, 18 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round a patient person can wait for ge to payoff,cramers lightning round a patient person can wait for ge to payoff,"['cramers', 'lightning', 'round', 'patient', 'person', 'wait', 'ge', 'payoff']"
Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way," 7:02  PM ET Thu, 18 June 2020","The 10 bull markets ""will keep working as America reopens,"" the ""Mad Money"" host said.",jim cramer bull markets on wall street and the stocks leading the way,jim cramer bull markets on wall street and the stocks leading the way,"['jim', 'cramer', 'bull', 'markets', 'wall', 'street', 'stocks', 'leading', 'way']"
Cramer's lightning round: STMicroelectronics is a 'very good company'," 7:17  PM ET Wed, 17 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round stmicroelectronics is a very good company,cramers lightning round stmicroelectronics is a very good company,"['cramers', 'lightning', 'round', 'stmicroelectronics', 'good', 'company']"
Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers," 7:12  PM ET Wed, 17 June 2020","""We are seeing the e-commerce demand flow through to our rail business,"" Union Pacific CEO Lance Fritz told CNBC's Jim Cramer.",union pacific ceo sees signs of optimism in multiple markets as economy recovers,union pacific ceo sees signs of optimism in multiple markets as economy recovers,"['union', 'pacific', 'ceo', 'sees', 'signs', 'optimism', 'multiple', 'markets', 'economy', 'recovers']"
"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says"," 6:54  PM ET Wed, 17 June 2020","""I think the story is so compelling that it's worth putting on a small position even up here,"" the ""Mad Money"" host said.",royal pharma came public in a golden age of medical research jim cramer says,royal pharma came public in a golden age of medical research jim cramer says,"['royal', 'pharma', 'came', 'public', 'golden', 'age', 'medical', 'research', 'jim', 'cramer', 'says']"
Cramer advises investors to continue investing based on the 'new normal'," 6:44  PM ET Wed, 17 June 2020","""These social distancing stocks have become some of the best investments around. I think they'll stay that way until we get a vaccine,"" the ""Mad Money"" host said.",cramer advises investors to continue investing based on the new normal,cramer advises investors to continue investing based on the new normal,"['cramer', 'advises', 'investors', 'continue', 'investing', 'based', 'new', 'normal']"
"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'"," 8:11  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer broke down what drove Tuesday's market rally.",cramer channels wall street legend martin zweig dont fight the tape dont fight the fed,cramer channels wall street legend martin zweig dont fight the tape dont fight the fed,"['cramer', 'channels', 'wall', 'street', 'legend', 'martin', 'zweig', 'nt', 'fight', 'tape', 'nt', 'fight', 'fed']"
Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal," 7:00  PM ET Tue, 16 June 2020",CNBC's Jim Cramer weighs his favorite stock picks amid talks of the Trump administration considering a massive infrastructure spending package.,cramer reacts to trump administrations potential trillion infrastructure proposal,cramer reacts to trump administrations potential trillion infrastructure proposal,"['cramer', 'reacts', 'trump', 'administrations', 'potential', 'trillion', 'infrastructure', 'proposal']"
,,,,,[]
Cramer's lightning round: Let's buy some Pinterest," 6:57  PM ET Tue, 16 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round lets buy some pinterest,cramers lightning round lets buy some pinterest,"['cramers', 'lightning', 'round', 'lets', 'buy', 'pinterest']"
Canopy Growth CEO expects weed will be legalized federally by 2022," 6:57  PM ET Tue, 16 June 2020","""My assumption is that 2022, for me, is the magic number,"" he said in a ""Mad Money"" interview.",canopy growth ceo expects weed will be legalized federally by ,canopy growth ceo expects weed will be legalized federally by ,"['canopy', 'growth', 'ceo', 'expects', 'weed', 'legalized', 'federally']"
"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy"," 7:37  PM ET Mon, 15 June 2020","""I think the behaviors that were built in the last several months have the real potential to continue to provide a catalyst for improved results,"" CEO Mark Clouse said in a ""Mad Money"" interview.",campbell soup ceo says june pantry sales are unusually high despite reopening economy,campbell soup ceo says june pantry sales are unusually high despite reopening economy,"['campbell', 'soup', 'ceo', 'says', 'june', 'pantry', 'sales', 'unusually', 'high', 'despite', 'reopening', 'economy']"
Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me'," 7:32  PM ET Mon, 15 June 2020","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round virgin galactic is too dangerous a game for me,cramers lightning round virgin galactic is too dangerous a game for me,"['cramers', 'lightning', 'round', 'virgin', 'galactic', 'dangerous', 'game']"
Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks," 7:23  PM ET Mon, 15 June 2020","""As Zoom goes, so go Zscaler and CrowdStrike and Cramer-fave RingCentral,"" the ""Mad Money"" host said.",jim cramer investors concerned about spiking coronavirus cases should buy these stocks,jim cramer investors concerned about spiking coronavirus cases should buy these stocks,"['jim', 'cramer', 'investors', 'concerned', 'spiking', 'coronavirus', 'cases', 'buy', 'stocks']"
Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40'," 8:21  PM ET Fri, 12 June 2020","""If the combination's over 40, you've got a good one. If it's under 40, you've got a riskier one,"" the ""Mad Money"" host said.",cramer recommends buying these cloud stocks based on the rule of ,cramer recommends buying these cloud stocks based on the rule of ,"['cramer', 'recommends', 'buying', 'cloud', 'stocks', 'based', 'rule']"
,,,,,[]
Cramer's week ahead: This is the 'most overbought market in history'," 8:03  PM ET Fri, 12 June 2020","""As long as you think we aren't going into a second lockdown, even as Covid cases spike, then you want to buy your favorite stocks into weakness here,"" Cramer said.",cramers week ahead this is the most overbought market in history,cramers week ahead this is the most overbought market in history,"['cramers', 'week', 'ahead', 'overbought', 'market', 'history']"
Centene CEO calls for better education for at-risk youth as one solution to racial disparities," 8:26  PM ET Fri, 12 June 2020","""One of the things we have to do to correct this is improve the educational system in the inner city,"" health insurer Centene CEO Michael Neidorff said.",centene ceo calls for better education for atrisk youth as one solution to racial disparities,centene ceo calls for better education for atrisk youth as one solution to racial disparities,"['centene', 'ceo', 'calls', 'better', 'education', 'atrisk', 'youth', 'solution', 'racial', 'disparities']"
