Time,Headlines,cleaned_text,standardized_text,tokens
17-Jul-20,"Nils Pratley on finance  


  Centrica left it far too late to tackle its problems",jul,jul,['jul']
17-Jul-20,Here's another virus terrorising businesses and causing havoc: ransomware,jul,jul,['jul']
17-Jul-20,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",jul,jul,['jul']
17-Jul-20,A fifth of Brazilian soy in Europe is result of deforestation,jul,jul,['jul']
17-Jul-20,Public sector pension discrimination could cost UK taxpayer £17bn,jul,jul,['jul']
17-Jul-20,World's largest oil firm agrees to carbon cuts to tackle climate crisis,jul,jul,['jul']
17-Jul-20,Boohoo shares rise 12% after co-founders pump £15m into firm,jul,jul,['jul']
17-Jul-20,UK government orders halt to Randox Covid-19 tests over safety issues,jul,jul,['jul']
16-Jul-20,Canary Wharf traders and landlord bank on return to offices,jul,jul,['jul']
16-Jul-20,Number of UK problem gamblers seeking help soars in lockdown,jul,jul,['jul']
16-Jul-20,British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',jul,jul,['jul']
16-Jul-20,'It's disrupted our entire lives': UK workers on losing their jobs,jul,jul,['jul']
16-Jul-20,Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened,jul,jul,['jul']
16-Jul-20,"More than 1,600 UK jobs at risk at casino firm Genting",jul,jul,['jul']
16-Jul-20,Royalties investment firm buys catalogue of Lady Gaga collaborator,jul,jul,['jul']
16-Jul-20,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",jul,jul,['jul']
16-Jul-20,Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,jul,jul,['jul']
16-Jul-20,Next in final stages of buying UK arm of Victoria's Secret,jul,jul,['jul']
16-Jul-20,"Human rights in focus  Ethical labels not fit for purpose, report warns consumers",jul,jul,['jul']
16-Jul-20,UK banks may have to flag up plans to shut branches or cash machines,jul,jul,['jul']
16-Jul-20,1.3m more file for unemployment as US economy continues to reel,jul,jul,['jul']
16-Jul-20,Southbank Centre warns of 400 job losses amid coronavirus crisis,jul,jul,['jul']
16-Jul-20,UK's hidden problem of rising unemployment may soon be exposed,jul,jul,['jul']
16-Jul-20,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",jul,jul,['jul']
16-Jul-20,Banks propose student loan-style scheme for struggling UK businesses,jul,jul,['jul']
16-Jul-20,Family fortunes of wealthy increase as super-rich ride coronavirus storm,jul,jul,['jul']
16-Jul-20,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,jul,jul,['jul']
16-Jul-20,"29% of UK businesses to cut jobs in next three months, survey says",jul,jul,['jul']
15-Jul-20,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",jul,jul,['jul']
15-Jul-20,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,jul,jul,['jul']
15-Jul-20,"Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case",jul,jul,['jul']
15-Jul-20,Fear of Pizza Express closures as chain faces takeover by bondholders,jul,jul,['jul']
15-Jul-20,'Not much difference': few takers on first day of hospitality VAT cut,jul,jul,['jul']
15-Jul-20,Capital gains tax review: your questions answered,jul,jul,['jul']
15-Jul-20,Asos considers action against Leicester supplier in ethical audit,jul,jul,['jul']
15-Jul-20,Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened,jul,jul,['jul']
15-Jul-20,BBC announces further 70 job cuts in news division,jul,jul,['jul']
15-Jul-20,"Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told",jul,jul,['jul']
15-Jul-20,Trump claims credit for UK Huawei ban as China says move 'disheartening' – video,jul,jul,['jul']
15-Jul-20,Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs,jul,jul,['jul']
15-Jul-20,"UK ban on Huawei in 5G network groundless, says Chinese ambassador",jul,jul,['jul']
15-Jul-20,UK fast-food and coffee chains cut prices as VAT relief comes into effect,jul,jul,['jul']
15-Jul-20,"Apple does not need to pay €13bn Irish tax bill, EU court rules",jul,jul,['jul']
15-Jul-20,‘I can’t afford to turn away business’: view from shops on face mask rules,jul,jul,['jul']
15-Jul-20,The Number Bias by Sanne Blauw review – how numbers can mislead us,jul,jul,['jul']
15-Jul-20,Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit,jul,jul,['jul']
15-Jul-20,Matt Hancock rules out mandatory face masks in offices,jul,jul,['jul']
15-Jul-20,Burberry to cut 500 jobs worldwide in £55m cost-saving drive,jul,jul,['jul']
15-Jul-20,UK inflation rises as game console prices increase in lockdown,jul,jul,['jul']
15-Jul-20,BFI diversity standards 'failing to tackle race discrimination in UK film industry',jul,jul,['jul']
15-Jul-20,"Your problems, with Anna Tims  Floored as Harveys constantly failed on its promises to deliver",jul,jul,['jul']
15-Jul-20,Governments put 'green recovery' on the backburner,jul,jul,['jul']
15-Jul-20,The green recovery  UK government planning new green investment bank,jul,jul,['jul']
15-Jul-20,Stamp duty cut fuels surge of interest in London commuter belt,jul,jul,['jul']
15-Jul-20,"UK energy efficiency push offers just a third of the investment needed, says report",jul,jul,['jul']
15-Jul-20,UK launches first online service for groceries in reusable packing,jul,jul,['jul']
15-Jul-20,Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy,jul,jul,['jul']
15-Jul-20,Virgin Atlantic: a successful non-intervention by the Treasury,jul,jul,['jul']
15-Jul-20,The Guardian view on Covid-19 economics: the austerity con of deficit hysteria,jul,jul,['jul']
15-Jul-20,Former Barclays boss apologises for Amanda Staveley 'tart' reference,jul,jul,['jul']
15-Jul-20,Hospitality VAT cut may not be passed on to UK consumers,jul,jul,['jul']
15-Jul-20,Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly,jul,jul,['jul']
15-Jul-20,"Weak recovery could make unemployment worse than 1980s levels, warns OBR",jul,jul,['jul']
15-Jul-20,Treasury forecaster's three stark predictions for Britain's economy,jul,jul,['jul']
15-Jul-20,UK accounting firms criticised by watchdog for ‘unacceptable’ work,jul,jul,['jul']
15-Jul-20,Business live  Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened,jul,jul,['jul']
15-Jul-20,Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump,jul,jul,['jul']
15-Jul-20,Ireland could randomly test tourists from high-risk countries for Covid-19,jul,jul,['jul']
14-Jul-20,British Airways to sell art collection to ease Covid-19 pressures,jul,jul,['jul']
14-Jul-20,UK's growth figures dim hopes of V-shaped recovery from Covid-19,jul,jul,['jul']
14-Jul-20,Flood strategy 'at odds with Boris Johnson push for mass housing',jul,jul,['jul']
14-Jul-20,"UK economy may not recover until end of 2022, Treasury forecaster warns",jul,jul,['jul']
14-Jul-20,Face masks 'will deter young shoppers' says JD Sports chairman,jul,jul,['jul']
14-Jul-20,Ocado has waiting list of 1 million customers wanting to sign up,jul,jul,['jul']
14-Jul-20,"Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms",jul,jul,['jul']
14-Jul-20,"End of the office: the quiet, grinding loneliness of working from home",jul,jul,['jul']
14-Jul-20,Britain's economy returns to growth more slowly than expected,jul,jul,['jul']
14-Jul-20,"Sunak’s Covid-19 package may not be value for money, warns Treasury economist",jul,jul,['jul']
14-Jul-20,UK retail sales in June show signs of recovery after covid lockdown,jul,jul,['jul']
14-Jul-20,The fast fashion fix: 20 ways to stop buying new clothes for ever,jul,jul,['jul']
14-Jul-20,Government hopes cut in red tape will triple UK's battery capacity,jul,jul,['jul']
14-Jul-20,"After mixed messages and mess-ups, Johnson bows to the inevitable",jul,jul,['jul']
14-Jul-20,UK's expected U-turn on Huawei fails to satisfy Tory rebels,jul,jul,['jul']
14-Jul-20,"Nils Pratley on finance  


  Sunak cannot just hope other big firms will follow Primark's furlough stance",jul,jul,['jul']
14-Jul-20,Asda equal pay dispute goes to UK supreme court in virtual hearing,jul,jul,['jul']
14-Jul-20,Boohoo shares drop 18% as new Leicester factory reports threaten sales,jul,jul,['jul']
14-Jul-20,Nationwide to offer low-deposit mortgages after stamp duty move,jul,jul,['jul']
14-Jul-20,"Grogonomics  


  To make jobseeker fit for purpose, its temporary rise should be permanent",jul,jul,['jul']
13-Jul-20,Offshore wind energy investment quadruples despite Covid-19 slump,jul,jul,['jul']
13-Jul-20,Halfords to close up to 60 sites despite rise in bike sales in lockdown,jul,jul,['jul']
13-Jul-20,Business live  Markets strengthen amid economic recovery hopes - as it happened,jul,jul,['jul']
13-Jul-20,What is Huawei and why is its role in UK's 5G so controversial?,jul,jul,['jul']
13-Jul-20,"G4S planning more than 1,000 job losses in cash-handling services",jul,jul,['jul']
13-Jul-20,Johnnie Walker maker creates plastic-free paper-based spirits bottle,jul,jul,['jul']
13-Jul-20,Gold trade body urged to suspend refinery over alleged abuses in Tanzania,jul,jul,['jul']
13-Jul-20,Work begins in Lincolnshire on world's longest subsea power cable,jul,jul,['jul']
13-Jul-20,Quiz suspends clothing supplier over Leicester subcontractor concerns,jul,jul,['jul']
13-Jul-20,BT boss warns of outages and security risks if UK ditches Huawei,jul,jul,['jul']
13-Jul-20,"Three in four UK firms unprepared for Brexit, study shows",jul,jul,['jul']
13-Jul-20,UK tobacco sales fell faster after plain packaging rules came into force,jul,jul,['jul']
13-Jul-20,"Shoppers shun high streets in England and Northern Ireland, data shows",jul,jul,['jul']
13-Jul-20,Bono campaign group accuses UK of wasting international aid budget,jul,jul,['jul']
13-Jul-20,"Project Syndicate economists  


  Covid-19 is no excuse for sovereign creditors to move the goalposts on debt",jul,jul,['jul']
13-Jul-20,Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery,jul,jul,['jul']
13-Jul-20,Priti Patel to unveil details of post-Brexit immigration plans,jul,jul,['jul']
13-Jul-20,Primark turns down £30m windfall from job retention bonus,jul,jul,['jul']
13-Jul-20,Post-furlough sums don’t add up for me,jul,jul,['jul']
13-Jul-20,Corporations begin cautious return to UK offices after lockdown,jul,jul,['jul']
12-Jul-20,"Economics viewpoint  


  Until Covid-19 uncertainty melts away there's little chance of full economic recovery",jul,jul,['jul']
12-Jul-20,Of course there's a future for the British fishing industry – on stage,jul,jul,['jul']
12-Jul-20,The simplest way to close the racial wealth gap? Direct cash payments,jul,jul,['jul']
12-Jul-20,Enough of the psychobabble. Racism is not something to fix with therapy,jul,jul,['jul']
12-Jul-20,‘They just got away with paying men more …’ Milestone looms in Asda equal pay fight,jul,jul,['jul']
12-Jul-20,Precious metal: the gold-standard investment when a crisis hits?,jul,jul,['jul']
12-Jul-20,"The shifting patterns of English  


  May I have a word about… why it’s a bloodbath on the streets",jul,jul,['jul']
12-Jul-20,"Observer business agenda  Sunak will say things are looking up, but OBR has less faith in a rebound",jul,jul,['jul']
12-Jul-20,"Business leader  


  Investors are selling Boohoo shares now. They could have intervened far earlier",jul,jul,['jul']
12-Jul-20,Is too much trade at stake for Britain to stand up to Beijing?,jul,jul,['jul']
12-Jul-20,Where in Britain does China spend its money?,jul,jul,['jul']
12-Jul-20,"Electric cars: five best buys, from new models to used bargains",jul,jul,['jul']
12-Jul-20,Boris Johnson urged to clarify message on wearing face masks in shops,jul,jul,['jul']
12-Jul-20,Covid-19 has revealed a pre-existing pandemic of poverty that benefits the rich,jul,jul,['jul']
12-Jul-20,"‘My parents helped me pack lube’: from sex toys to bidets, the lockdown businesses that boomed",jul,jul,['jul']
12-Jul-20,'Pensioners are already suffering': responses to the summer statement,jul,jul,['jul']
12-Jul-20,"Leicester factory put lives at risk during lockdown, claims garment worker",jul,jul,['jul']
12-Jul-20,Vast Brexit customs clearance centre to be built in Kent,jul,jul,['jul']
12-Jul-20,G4S fined £44m by Serious Fraud Office over electronic tagging,jul,jul,['jul']
12-Jul-20,The billionaire Boohoo family who started with a market stall in Manchester,jul,jul,['jul']
10-Jul-20,Estate agents in England report surge of interest as tax cut spurs on homebuyers,jul,jul,['jul']
10-Jul-20,Boohoo shareholder sells off shares in firm worth nearly £80m,jul,jul,['jul']
10-Jul-20,West End landlord collects less than a third of rent in June,jul,jul,['jul']
10-Jul-20,UK travel companies 'must comply with laws on refunds or face legal action',jul,jul,['jul']
10-Jul-20,Boohoo co-founder Jalal Kamani linked to Leicester garment factory,jul,jul,['jul']
10-Jul-20,Divided Libya to restart oil production after six-month shutdown,jul,jul,['jul']
10-Jul-20,"Business live  England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened",jul,jul,['jul']
10-Jul-20,The age of extinction  Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong,jul,jul,['jul']
10-Jul-20,"Gyms, pools and nail bars: what the new rules in England allow",jul,jul,['jul']
10-Jul-20,Other lives  Mike Wilson obituary,jul,jul,['jul']
10-Jul-20,Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel,jul,jul,['jul']
10-Jul-20,‘This isn’t really Somerset’: how the rich took over Bruton,jul,jul,['jul']
10-Jul-20,Royal Mail fined £1.6m for late deliveries and stamp overcharging,jul,jul,['jul']
10-Jul-20,Culture in peril  Coronavirus: hospitality VAT cut will apply to concerts and music festivals,jul,jul,['jul']
10-Jul-20,One in 10 of Restaurant Group outlets will not reopen this year,jul,jul,['jul']
10-Jul-20,How will we know the US economy is recovering? Here's what I'm watching,jul,jul,['jul']
10-Jul-20,Gym Group to reopen most branches in England from 25 July,jul,jul,['jul']
10-Jul-20,Pubs and restaurants in England trade at half their pre-virus levels,jul,jul,['jul']
10-Jul-20,"Nils Pratley on finance  


  Sharon White's radicalism at John Lewis is sorely needed",jul,jul,['jul']
10-Jul-20,US push to ease global energy controls as it hands fossil fuels $3bn,jul,jul,['jul']
9-Jul-20,Boohoo shares bounce back after pledge to improve factory conditions,jul,jul,['jul']
9-Jul-20,Kent airport gets green light to reopen as international hub,jul,jul,['jul']
9-Jul-20,"Business live  Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened",jul,jul,['jul']
9-Jul-20,Seven ways to help garment workers,jul,jul,['jul']
9-Jul-20,"Boots and John Lewis to cut 5,300 jobs and close stores",jul,jul,['jul']
9-Jul-20,'Left in limbo': Leicester fears local lockdown will go on until mid-August,jul,jul,['jul']
9-Jul-20,Man arrested in Solihull over suspected £500k furlough fraud,jul,jul,['jul']
9-Jul-20,'No masks': Wagamama criticised over Rishi Sunak photo op,jul,jul,['jul']
9-Jul-20,'Phones ringing off the hook' at estate agents after stamp duty cut,jul,jul,['jul']
9-Jul-20,"Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told",jul,jul,['jul']
9-Jul-20,"Sunak's jobs policies badly timed and poorly targeted, says IFS",jul,jul,['jul']
9-Jul-20,Our film critic's first drive-in: 'I quietly squeak with excitement',jul,jul,['jul']
9-Jul-20,Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis,jul,jul,['jul']
9-Jul-20,The pelvic mesh scandal makes it clear: doctors must declare any funding,jul,jul,['jul']
9-Jul-20,"Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers",jul,jul,['jul']
9-Jul-20,Workers fight back as US hotels try to lay off staff and hire on the cheap,jul,jul,['jul']
9-Jul-20,Second administrator to scrutinise Laura Ashley collapse,jul,jul,['jul']
9-Jul-20,Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus,jul,jul,['jul']
9-Jul-20,"John Lewis shuts eight stores with expected loss of 1,300 jobs",jul,jul,['jul']
9-Jul-20,China has shown it is willing to pay the economic price of suppressing Hong Kong,jul,jul,['jul']
9-Jul-20,Uber Eats to deliver your supermarket shopping with Asda tie-up,jul,jul,['jul']
9-Jul-20,"Ofgem's £25bn plan puts climate goals at risk, say energy firms",jul,jul,['jul']
9-Jul-20,NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years,jul,jul,['jul']
9-Jul-20,Today in Focus  The Leicester garment factories exposed by Covid-19,jul,jul,['jul']
9-Jul-20,"Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs",jul,jul,['jul']
9-Jul-20,UK housing market's post-lockdown bounce 'might run out of steam',jul,jul,['jul']
9-Jul-20,Mass unemployment feared despite Rishi Sunak's 'plan for jobs',jul,jul,['jul']
9-Jul-20,'There are too many uncertainties': reactions to the summer statement,jul,jul,['jul']
9-Jul-20,International aviation and shipping likely to be added to UK's net zero carbon target,jul,jul,['jul']
9-Jul-20,Chancellor's 'eat out to help out' plan: how to get value for money,jul,jul,['jul']
9-Jul-20,Unions urge Rishi Sunak to do more on unemployment,jul,jul,['jul']
9-Jul-20,"VAT cut for restaurants, pub meals and hotels: what will it mean for you?",jul,jul,['jul']
9-Jul-20,Chancellor's stock peaks with 'nudge' summer statement,jul,jul,['jul']
9-Jul-20,'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response,jul,jul,['jul']
9-Jul-20,"Stamp duty holiday may revive housing market, say experts",jul,jul,['jul']
9-Jul-20,"Politics live with Andrew Sparrow  UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened",jul,jul,['jul']
9-Jul-20,UK business leaders warn over closure of furlough scheme,jul,jul,['jul']
9-Jul-20,Boohoo to launch independent review of UK supply chain,jul,jul,['jul']
9-Jul-20,"May worst month for Covid-19 impact on UK job market, ONS figures show",jul,jul,['jul']
9-Jul-20,Devolved nations call on Treasury for billions in extra spending,jul,jul,['jul']
8-Jul-20,Boohoo must take fashion more seriously after factory scandal,jul,jul,['jul']
8-Jul-20,Scotland to keep 14-day quarantine for travellers from Spain,jul,jul,['jul']
8-Jul-20,UK nominates Liam Fox to lead World Trade Organization,jul,jul,['jul']
8-Jul-20,Rishi Sunak unveils stamp duty holiday and hospitality VAT cut,jul,jul,['jul']
8-Jul-20,"Ryanair to keep on UK-based crew in return for pay cuts, say unions",jul,jul,['jul']
8-Jul-20,"Tati, much-loved French retailer, shuts up shop in Paris after 70 years",jul,jul,['jul']
8-Jul-20,Summer statement 2020: the chancellor's key points at a glance,jul,jul,['jul']
8-Jul-20,FirstGroup could cease trading as coronavirus hits passenger levels,jul,jul,['jul']
8-Jul-20,Grant Thornton fined over Conviviality audit failures,jul,jul,['jul']
8-Jul-20,Activists see Purdue bankruptcy case as last chance to call Sacklers to account,jul,jul,['jul']
8-Jul-20,Uber to launch London commuter boat service with Thames Clippers,jul,jul,['jul']
8-Jul-20,147 new Australian Covid-19 cases – as it happened,jul,jul,['jul']
8-Jul-20,Stop trying to fight racism with corporate diversity consultants,jul,jul,['jul']
8-Jul-20,Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s,jul,jul,['jul']
8-Jul-20,Summer statement: the UK's Covid-19 economic crisis in five key charts,jul,jul,['jul']
8-Jul-20,How Rishi Sunak could kickstart UK's post-lockdown economy,jul,jul,['jul']
8-Jul-20,"Scam calls will rise as lockdown eases, says trading standards body",jul,jul,['jul']
8-Jul-20,"Next, Asos and Amazon drop Boohoo amid Leicester factory claims",jul,jul,['jul']
8-Jul-20,"Nils Pratley on finance  


  No business need at all now for a Chinese nuclear plant in the UK",jul,jul,['jul']
8-Jul-20,Thousands of Jaguar Land Rover logistics workers to lose jobs,jul,jul,['jul']
7-Jul-20,Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings,jul,jul,['jul']
7-Jul-20,Crime fiction boom as book sales rocket past 2019 levels,jul,jul,['jul']
7-Jul-20,Business live  Markets slide as EC predicts deeper eurozone recession - as it happened,jul,jul,['jul']
7-Jul-20,JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests,jul,jul,['jul']
7-Jul-20,The pandemic has exposed the dark underside of fast fashion's supply chains,jul,jul,['jul']
7-Jul-20,"Lockdown living  


  Fast fashion creates misery – and that's always a bad look",jul,jul,['jul']
7-Jul-20,New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France,jul,jul,['jul']
7-Jul-20,Halfords predicts bicycle boom to continue for 2020,jul,jul,['jul']
7-Jul-20,"UK house prices fell for fourth month in a row, says Halifax",jul,jul,['jul']
7-Jul-20,"'We squandered a decade': world losing fight against poverty, says UN academic",jul,jul,['jul']
7-Jul-20,'People say we don’t exist': the scandal of excluded black architects,jul,jul,['jul']
7-Jul-20,"Europe faces deep recession and UK will shrink by 10%, says EC",jul,jul,['jul']
7-Jul-20,Boohoo shareholders demand answers after shares plunge by a third,jul,jul,['jul']
7-Jul-20,"Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid",jul,jul,['jul']
7-Jul-20,Empathy machines: what will happen when robots learn to write film scripts?,jul,jul,['jul']
7-Jul-20,UK jobless rate 'could near 15% in second coronavirus wave',jul,jul,['jul']
7-Jul-20,"UK hotel bookings returning after Covid-19 slump, says Premier Inn owner",jul,jul,['jul']
7-Jul-20,Mirror and Express owner Reach to cut 550 jobs,jul,jul,['jul']
7-Jul-20,"Treasury's 'green recovery' not enough, say campaigners",jul,jul,['jul']
7-Jul-20,Tory ministers from 1980s fear return to mass unemployment,jul,jul,['jul']
6-Jul-20,Gambling charity urges UK banks to improve card blocking systems,jul,jul,['jul']
6-Jul-20,Multibillion-dollar gas projects in jeopardy as global market collapses,jul,jul,['jul']
6-Jul-20,"Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65",jul,jul,['jul']
6-Jul-20,"Nils Pratley on finance  


  Departure of Horta-Osório no bad thing for Lloyds at this time",jul,jul,['jul']
6-Jul-20,More than £1bn wiped off Boohoo value as it investigates Leicester factory,jul,jul,['jul']
6-Jul-20,Business live  UK car sales weakest since 1971; US service sector strengthens - as it happened,jul,jul,['jul']
6-Jul-20,Aviva appoints Amanda Blanc as chief executive,jul,jul,['jul']
6-Jul-20,Pret a Manger: full list of stores to close,jul,jul,['jul']
6-Jul-20,Giant flywheel project in Scotland could prevent UK blackouts,jul,jul,['jul']
6-Jul-20,UK construction sector rebounds amid plan for stamp duty holiday,jul,jul,['jul']
6-Jul-20,Hollywood stars to be exempt from UK's coronavirus quarantine rules,jul,jul,['jul']
6-Jul-20,"Pret a Manger to close 30 stores and could cut more than 1,000 jobs",jul,jul,['jul']
6-Jul-20,UK’s big accountancy firms told to split off audit arms by 2024,jul,jul,['jul']
6-Jul-20,Only bold state intervention will save us from a future owned by corporate giants,jul,jul,['jul']
6-Jul-20,Lloyds chief António Horta-Osório to step down next year,jul,jul,['jul']
6-Jul-20,Why the Covid-19 financial crisis will leave lasting scars on Gen Z,jul,jul,['jul']
6-Jul-20,Consumer champions  Sky TV charged my mother a fortune and she can’t leave,jul,jul,['jul']
6-Jul-20,From dusted-off bikes to electric dreams: UK green economy booms on back of Covid-19,jul,jul,['jul']
6-Jul-20,Chancellor under pressure to boost financial support as job crisis looms,jul,jul,['jul']
6-Jul-20,UK banks prepare code of conduct on defaulting of Covid-19 business loans,jul,jul,['jul']
5-Jul-20,Scammers can create fake business ads on Google 'within hours',jul,jul,['jul']
5-Jul-20,Thames Water former boss handed £2.8m since being sacked,jul,jul,['jul']
5-Jul-20,Lifting of lockdown in England: how do you feel reopening has gone?,jul,jul,['jul']
5-Jul-20,"Economics viewpoint  


  Fifteen years after the G8 summit, it's the UK that's in dire need of aid",jul,jul,['jul']
5-Jul-20,Evening footfall on England's high streets soars as pubs reopen,jul,jul,['jul']
5-Jul-20,'They've been missed': Cornwall welcomes first tourists of summer,jul,jul,['jul']
5-Jul-20,"For small business owners, the pandemic proves it: millennials were right",jul,jul,['jul']
5-Jul-20,"Honey, I shrunk the shopping: the rise of mini products as children's toys",jul,jul,['jul']
5-Jul-20,Travel agents resort to hardline tactics to get out of a refund,jul,jul,['jul']
5-Jul-20,Wouldn’t it be great for British town centres if people could just move into closed shops?,jul,jul,['jul']
5-Jul-20,"Notebook  


  Have a heart, KitKat, don't break with Fairtrade",jul,jul,['jul']
5-Jul-20,"Business leader  


  Big Tech may not be afraid of a boycott. But it might fear a regulator",jul,jul,['jul']
5-Jul-20,"Hidden gems from the world of research  


  We might never get over the fear that the pandemic induced",jul,jul,['jul']
5-Jul-20,Sunak considers £500 vouchers for all UK adults to spend in Covid-hit firms,jul,jul,['jul']
5-Jul-20,Donald Trump rushed to reopen America – now Covid is closing in on him,jul,jul,['jul']
5-Jul-20,The Observer view on the reopening of the economy,jul,jul,['jul']
5-Jul-20,Letters: recovery plan must not endanger the Earth,jul,jul,['jul']
5-Jul-20,I left my heart in the Luton airport branch of Bella Italia ...,jul,jul,['jul']
5-Jul-20,Observer business agenda  Rolls-Royce faces a long haul back to high-flier status,jul,jul,['jul']
5-Jul-20,"Huawei could be cut out of UK's 5G network this year, say reports",jul,jul,['jul']
4-Jul-20,The Bank of England has many battles ahead. Inflation will not be one of them,jul,jul,['jul']
4-Jul-20,"VAT, NICs … what will Rishi Sunak’s summer statement target?",jul,jul,['jul']
4-Jul-20,"The Covid crisis made Rishi Sunak a star, but it could yet undo him",jul,jul,['jul']
4-Jul-20,English pubs pour first pints for customers since lockdown began,jul,jul,['jul']
4-Jul-20,Debt: 'The first step towards change is admitting you have a problem',jul,jul,['jul']
